[DM_REFINEMENT]
eventname,dm_stored,dm_refined,dm_refined_offset,dm_error,best_snr
FRB20180801A,B: CHIME Boxcar,551.4754552457254,40.36542924470901,False
FRB20180801A,A: Optimized Asymmetric FRED,614.0024609328873,40.36542924470901,True
FRB20180806A,Native (CHIME portal),208.39678592783494,14.871804609900712,False
FRB20180806A,B: CHIME Boxcar,325.76666538208553,25.932379949837923,False
FRB20180806A,A: Optimized Asymmetric FRED,371.0901945057998,25.932379949837923,True
FRB20180810A,Native (CHIME portal),189.12949995382934,17.40004024236202,False
FRB20180810A,B: CHIME Boxcar,274.2669910441466,28.08434508333206,False
FRB20180810A,A: Optimized Asymmetric FRED,347.2650288420506,28.08434508333206,True
FRB20180810B,Native (CHIME portal),606.5651933550835,17.901475140595434,False
FRB20180810B,B: CHIME Boxcar,641.7409165501595,30.909017321169376,True
FRB20180810B,A: Optimized Asymmetric FRED,583.9723080579885,30.909017321169376,False
FRB20180812A,Native (CHIME portal),179.91359429947704,19.841108963012694,False
FRB20180812A,B: CHIME Boxcar,353.7333290485104,34.51850755494833,False
FRB20180812A,A: Optimized Asymmetric FRED,450.61047897639327,34.51850755494833,True
FRB20180814A,Native (CHIME portal),136.1737351374362,25.854537338179348,False
FRB20180814A,B: CHIME Boxcar,196.67691669330839,34.39543694663644,False
FRB20180814A,A: Optimized Asymmetric FRED,333.70813376341204,34.39543694663644,True
FRB20180814B,Native (CHIME portal),279.1211731367571,13.11189530428648,False
FRB20180814B,B: CHIME Boxcar,401.5730179656466,29.407788162231444,False
FRB20180814B,A: Optimized Asymmetric FRED,439.88956824315045,29.407788162231444,True
FRB20180817A,Native (CHIME portal),762.6695527413534,28.333009921842812,False
FRB20180817A,B: CHIME Boxcar,844.9818102298318,28.941391775518653,False
FRB20180817A,A: Optimized Asymmetric FRED,953.567765860087,28.941391775518653,True
FRB20180904A,Native (CHIME portal),565.4991836547852,17.35544811093807,False
FRB20180904A,B: CHIME Boxcar,603.7361220686198,40.51197419807911,True
FRB20180904A,A: Optimized Asymmetric FRED,589.438865757999,40.51197419807911,False
FRB20180906A,Native (CHIME portal),129.48895331407138,13.843546200764179,False
FRB20180906A,B: CHIME Boxcar,288.4729112052597,18.45004311262965,False
FRB20180906A,A: Optimized Asymmetric FRED,291.3532710479778,18.45004311262965,True
FRB20180906B,Native (CHIME portal),117.79481757873499,15.903508588379077,False
FRB20180906B,B: CHIME Boxcar,173.452335090644,24.55695051728269,False
FRB20180906B,A: Optimized Asymmetric FRED,201.43135588170517,24.55695051728269,True
FRB20180907A,Native (CHIME portal),193.27867123484612,13.418941946893929,False
FRB20180907A,B: CHIME Boxcar,302.4691037535667,21.984862195980547,False
FRB20180907A,A: Optimized Asymmetric FRED,353.7667459453805,21.984862195980547,True
FRB20180907B,Native (CHIME portal),180.97551348518533,11.829580170464515,False
FRB20180907B,B: CHIME Boxcar,290.3957464599501,19.38969064666629,False
FRB20180907B,A: Optimized Asymmetric FRED,341.0695159269401,19.38969064666629,True
FRB20180907C,Native (CHIME portal),170.61014243365653,13.22503641155362,False
FRB20180907C,B: CHIME Boxcar,246.8027264870241,25.96656476445794,False
FRB20180907C,A: Optimized Asymmetric FRED,294.54324495893235,25.96656476445794,True
